978276440458X, , La musique exactement, La musique exactement, , 
978289752828X, , , Une haine brutale, , Evanescence tome 1
978289647947X, , , Psycho boys volume 1, Psycho Boys Tome 1, 
978289435669X, L homme phalène NÂ 2, , Minuit 13, , 
978289543181X, Surveillant zele r, , Surveillant zélé, , 
978289428429X, , La treizième carte, La treizième carte, , 
978289543626X, Citrouille d halloween la, , La citrouille d Halloween, , 
978289595430X, , Asclé, Asclé, , 
978289428565X, , Rêver la lune, , Rêver la lune L imaginaire de Michel Tremblay dans les Chroniques du Plateau Mont Royal, 
978289021844X, ENFANT DE LA CHEMINEE, L enfant de la cheminée, L enfant de la cheminée, , 
978289295094X, , La Québécoite, La Québécoite, , 
978289607104X, Milan et le chien boiteux Nº 55, Milan et le chien boiteux, Milan et le chien boiteux, , 
978289021450X, , Sauve qui peut l amour, Sauve qui peut l amour, , 
978289485188X, , Près des yeux près du coeur, Près des yeux près du coeur, , 
978276480046X, Thana tome 1, , Thana, , 
978289046656X, , Dans le blanc, Dans le blanc, , 
978289633005X, , Rumeurs au pôle Nord, Rumeurs au pôle Nord, , 
978289651491X, ZUNIK T05, , Zunik, , 
978276258130X, , Un micro s v p, Un micro s v p, , 
978276132384X, , Monsieur Citrouille, Monsieur Citrouille, , 
978289021592X, , Le verbe coeur, Le verbe coeur, , 
978289295152X, Maria Chapdelaine, Maria Chapdelaine, Maria Chapdelaine, , 
978289431146X, Commun des mortels le, Le commun des mortels, Le commun des mortels, , 
978289512046X, , Perline Pompette, Perline Pompette, , 
978289419111X, , Le dernier voyage, Le dernier voyage, , 
978289396239X, , Du côté de l infini, Du côté de l infini, , 
978289647948X, , , Klondike, Klondike Tome 2 Les promesses de l Eldorado, 
978289751270X, Garfield Blagues et devinettes 2, , Garfield Blagues et devinettes 2, , 
978289714246X, Défense d entrer 7, , Défense d entrer, , 
978289021567X, , Une clé pour l envers du monde, Une clé pour l envers du monde, , 
978276440694X, , Coeurs molotov roman, Coeurs molotov, , 
978276464441X, , , 117 Nord, , 117 Nord
978289647380X, , , Pirates volume 4, Pirates Tome 4 Les armes du vice roi, 
978289435567X, Le complot NÂ 3, , Zâa, , 
978292125590X, , Cauchemar sur la ville, Cauchemar sur la ville, , 
978289766079X, , Le plus petit espace, Le plus petit espace, , 
978289016049X, , Portages, Portages, , 
978289579611X, CORBEAU ET LE SECRET DE, Corbeau et le secret de la lumière, Corbeau et le secret de la lumière, , 
978289295046X, L homme rapaillé, L homme rapaillé version non définitive, L homme rapaillé version non définitive, , 
978289295084X, Agaguk, Agaguk, Agaguk, , 
978289111869X, Hivers, Hivers, Hivers, , 
978289037654X, , Drakkar, Drakkar, , 
978289006353X, Fables, Fables, , , 
978292125340X, , Coeur d ardoise, Coeur d ardoise, , 
978289406106X, , C t à ton tour Laura Cadieux, C t à ton tour Laura Cadieux, , C t à ton tour Laura Cadieux
978289006508X, La femme du Portage, La femme du Portage, La femme du Portage, , 
978289667526X, , Le théorème de Boole, Le théorème de Boole, , 
978289543514X, Winnie promenade de noel, , Winnie, , 
978289006835X, Les chevaux approximatifs, Les chevaux approximatifs, Les chevaux approximatifs, , 
978289018432X, , Ce que nous tenons à distance, Ce que nous tenons à distance, , 
978292349919X, , La tempête maîtres du climat, La tempête 1 les maîtres du climat, , 
978292323416X, , La dame blanche, La dame blanche, , 
978292066044X, ET VIVE MONTGOLFIERE 02, , Et vive la montgolfière, , 
978289024113X, , Onyx John, Onyx John, , 
978289006726X, L inoubliable, L inoubliable, L inoubliable, , 
978298132591X, , , Vengeance, , Vengeance tome 1
978289690600X, , , Sous la surface, , Sous la surface
978289111890X, La sage femme de Poitiers, , La sage femme de Poitiers, , 
978292214569X, Le feu vagabond NÂ 61, , La tapisserie de Fionavar, , 
978276132397X, , Une baguette en miettes, Une baguette en miettes, , 
978289026007X, Manuscrit trouvé dans une valise, Manuscrit trouvé dans une valise, , , 
978289381972X, M et Mme Jean Baptiste Rouet, M et Mme Jean Baptiste Rouet, M et Mme Jean Baptiste Rouet, , 
978298137640X, , La persistance du destin, La persistance du destin, , 
978289435321X, Gonzague Des kilos en trop Nº 39, , Gonzague, , 
978289647357X, , , Frontenac, Frontenac Tome 1 La tourmente, 
978289647423X, , , Le Talisman de Nergal volume 2, Le Talisman de Nergal Tome 2 Le trésor de Salomon, 
978289695544X, ABC DE MONSIEUR PIZZA, , L ABC de monsieur Pizza, , 
978276462428X, , Mourir mais pas trop, Mourir mais pas trop, , 
978292366292X, Le Premier et le Dernier Miracle, , Le premier et le dernier miracle, , 
978289005934X, L année sauvage, , L année sauvage, , 
978289512825X, , Alex et le match du siècle, Alex et le match du siècle, , 
978289651034X, DELIRONS AVEC LEON NO09, , Délirons avec Léon, , 
978292177591X, , Et les mouettes tournoient obstinément au dessus de nos corps, Et les mouettes tournoient obstinément au dessus de nos corps, , 
978276442496X, , Drôles d écoles tout plein d histoires qui parlent des écoles, Drôles d écoles, , 
978289723937X, , , Planète soccer volume 2, Planète soccer Tome 2 La vengeance, 
978289660911X, Superhéros Nº 5, , Superhéros 5, , 
978289430106X, , Le rêve de Rose Anna Vachon, Le rêve de Rose Anna Vachon, , 
978289512837X, , Autocollants trop merveilleux, Autocollants trop merveilleux, , 
978289648036X, Portrait de dos, , Portrait de dos, , 
978298075633X, , Un brin d herbe, Un brin d herbe, , 
978289428730X, , Le Parachute de Socrate, Le parachute de Socrate, Le parachute de Socrate Roman tristement drôle sur la consommation des uns par les autres, 
978292323457X, , Attention poison, Attention poison, , 
978292266022X, , Ataraxie, Ataraxie, , 
978289714098X, Mon grand rêve, , Mon grand rêve, , 
978289714165X, Les étonnantes vacances de Margot, , Les étonnantes vacances de Margot, , 
978289633294X, , , Agrippine la pas fine, , Le Puits
978292214585X, La nuit de toutes les chances NÂ 74, , La nuit de toutes les chances, , 
978289428735X, , , L affaire Von Bretzel, Loup détective Tome 2 L affaire von Bretzel, 
978289502121X, , Les chemins contraires, Les chemins contraires, , 
978289647650X, , , À l ombre du clocher, À l ombre du clocher Tome 1 compact Les années folles, 
978289005430X, Le p tit Québec de mon coeur, Le P tit Québec de mon coeur, , , 
978289543632X, Cadeau pour le pere noel un, , Un cadeau pour le père Noël, , 
978289051790X, , Fripouille, Fripouille, , 
978289021506X, , Ma nuit dans les glaces, Ma nuit dans les glaces, , 
