id1,data_base1,title1,author1,isbn1,title_raw1,author_raw1,isbn_raw1,id2,data_base2,title2,author2,isbn2,title_raw2,author_raw2,isbn_raw2
<http://recif.litterature.org/ontologie/entite/oeuvre/10836>,ILE,oeuvres poetiques,['morin paul'],[],Oeuvres poétiques,"['""Morin, Paul""']","['""""']",<http://banq.qc.ca/livre/107882>,Depot_legal,oeuvres posthumes,['nicolas kis'],['978289583012X'],Oeuvres posthumes,"['""Nicolas"" ""Kis""']","['""2895830126""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/10836>,ILE,oeuvres poetiques,['morin paul'],[],Oeuvres poétiques,"['""Morin, Paul""']","['""""']",<http://banq.qc.ca/livre/283540>,Depot_legal,refugies poetiques,['sylvain riviere'],['978289583244X'],Réfugiés poétiques,"['""Sylvain"" ""Rivière""']","['""9782895832447""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/10836>,ILE,oeuvres poetiques,['morin paul'],[],Oeuvres poétiques,"['""Morin, Paul""']","['""""']",<http://banq.qc.ca/livre/247982>,Depot_legal,l oeuvre poetique,['jean-claude lalanne-cassou'],['978292271232X'],L'oeuvre poétique,"['""Jean-Claude"" ""Lalanne-Cassou""']","['""9782922712322""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/10836>,ILE,oeuvres poetiques,['morin paul'],[],Oeuvres poétiques,"['""Morin, Paul""']","['""""']",<http://banq.qc.ca/livre/154614>,Depot_legal,oeuvre poetique,['eudore evanturel'],['978289518121X'],Oeuvre poétique,"['""Eudore"" ""Evanturel""']","['""2895181217""']"
<http://banq.qc.ca/livre/299504>,Depot_legal,l age de la parole,['roland giguere'],['978289295392X'],L'âge de la parole,"['""Roland"" ""Giguère""']","['""9782892953923""']",<http://recif.litterature.org/ontologie/entite/oeuvre/8007>,ILE,l age de la prose,['gauvin lise'],[],L'Âge de la prose,"['""Gauvin, Lise""']","['""""']"
<http://www.sogides.com/livre/142516>,ADP,chansons,['marcel sabourin'],['000000043852X'],Chansons,"['""Marcel Sabourin""']","['""0000000438520""']",<http://recif.litterature.org/ontologie/entite/oeuvre/9970>,ILE,chansons,['lelievre sylvain'],[],Chansons,"['""Lelièvre, Sylvain""']","['""""']"
<http://banq.qc.ca/livre/223169>,Depot_legal,je m en souviens,['george tautan-cermeianu'],['978298058475X'],Je m'en souviens!,"['""George"" ""Tautan-Cermeianu""']","['""2980584754""']",<http://recif.litterature.org/ontologie/entite/oeuvre/6178>,ILE,je me souviens,['dantin louis'],[],Je me souviens,"['""Dantin, Louis""']","['""""']"
<http://banq.qc.ca/livre/223169>,Depot_legal,je m en souviens,['george tautan-cermeianu'],['978298058475X'],Je m'en souviens!,"['""George"" ""Tautan-Cermeianu""']","['""2980584754""']",<http://recif.litterature.org/ontologie/entite/oeuvre/6179>,ILE,je me souviens,['dantin louis'],[],Je me souviens,"['""Dantin, Louis""']","['""""']"
<http://banq.qc.ca/livre/223169>,Depot_legal,je m en souviens,['george tautan-cermeianu'],['978298058475X'],Je m'en souviens!,"['""George"" ""Tautan-Cermeianu""']","['""2980584754""']",<http://recif.litterature.org/ontologie/entite/oeuvre/6177>,ILE,je me souviens,['dantin louis'],[],Je me souviens,"['""Dantin, Louis""']","['""""']"
<http://banq.qc.ca/livre/8848>,Depot_legal,les couleurs,['keith faulkner'],['978276257726X'],Les couleurs,"['""Keith"" ""Faulkner""']","['""2762577268""']",<http://recif.litterature.org/ontologie/entite/oeuvre/4210>,ILE,les voleurs,['benoit jacques'],[],Les voleurs,"['""Benoit, Jacques""']","['""""']"
